,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
45,2.2848193384069686e-06,1.5187776114124807e-06,1.7212822741678165e-06,2.5201985871438568e-06,2.0659515029426027e-06,2.407120724596776e-06,2.3479391766990154e-06,6.9421512989678295e-06,4.006504291983027e-06,2.95635860739235e-06,1.2896622782408518e-06,1.3221116005650514e-06,1.530526802164655e-06,8.110539156203812e-06,2.553145320903891e-06,1.6481336450247938e-06
46,2.324608434376884e-06,1.5026234406340979e-06,1.6857605628359969e-06,2.576616052315349e-06,1.9982650707338593e-06,2.3885203713142043e-06,2.3428863605430914e-06,7.0103220193146964e-06,3.979691313334621e-06,2.9063974818019766e-06,1.2899691635240406e-06,1.354108269958672e-06,1.5451170777434472e-06,8.125381021598412e-06,2.4560489081363374e-06,1.6569447610257437e-06
47,2.361037270713373e-06,1.4925530257073672e-06,1.6530288384702942e-06,2.635171138080857e-06,1.938152752855436e-06,2.368990726340941e-06,2.3372700183938436e-06,7.087486120368819e-06,3.956846635524871e-06,2.8498126084783197e-06,1.2881327358843166e-06,1.3919978212754054e-06,1.5626116671949058e-06,8.210359011023796e-06,2.368811599166708e-06,1.666356575207958e-06
48,2.3926217593513247e-06,1.4883547675171678e-06,1.6237673897359662e-06,2.6944479078117953e-06,1.886086371209594e-06,2.3497188316310797e-06,2.3310817174093533e-06,7.173008883692999e-06,3.9386239890166005e-06,2.786607513610965e-06,1.2839719050081637e-06,1.4350913217125919e-06,1.5826724669204376e-06,8.368561458799124e-06,2.2914363455218564e-06,1.6755342605528276e-06
49,2.4178785293846407e-06,1.489664064683387e-06,1.5985131802455652e-06,2.7527057417509484e-06,1.8423073035374575e-06,2.3318894120432823e-06,2.324555465683045e-06,7.265715894784934e-06,3.925516385368069e-06,2.716988700338538e-06,1.277219843005269e-06,1.4825052352312718e-06,1.604744818306304e-06,8.60175112364753e-06,2.223706307494726e-06,1.6840374878984413e-06
50,2.4352897267137303e-06,1.4959822285414496e-06,1.577604772983014e-06,2.8080237503137863e-06,1.806841605323922e-06,2.3167171433630546e-06,2.3180914702631673e-06,7.363538365637679e-06,3.918203387052794e-06,2.6416305623187922e-06,1.2676862441415202e-06,1.5333480874526382e-06,1.6280382782104482e-06,8.910038265266917e-06,2.1651145333253893e-06,1.6920124319726773e-06
51,2.4434919438993932e-06,1.5067718090966814e-06,1.5611887664197676e-06,2.8585819363473874e-06,1.7795486054862586e-06,2.3055186527494345e-06,2.3120520758941625e-06,7.4632743100827945e-06,3.917532942199329e-06,2.561714886867843e-06,1.2552945140299264e-06,1.5868852264664066e-06,1.651547450918975e-06,9.291723928984766e-06,2.1148207818295595e-06,1.7000522759372418e-06
52,2.4417179283211086e-06,1.5215518188401801e-06,1.549273740086411e-06,2.9030622614829913e-06,1.760125299329766e-06,2.2997169281228843e-06,2.3066787476133484e-06,7.560726347847226e-06,3.924144484871525e-06,2.478719241104429e-06,1.2399843271538466e-06,1.6425471610310967e-06,1.6741407528044592e-06,9.743532173610531e-06,2.0718043702992802e-06,1.708871442326252e-06
53,2.4301164009445235e-06,1.5398563503662942e-06,1.5418350868898456e-06,2.940946552721038e-06,1.74804908338695e-06,2.3007321642179217e-06,2.3020397291962492e-06,7.65104439911602e-06,3.938200470456168e-06,2.3940951208157336e-06,1.221653358880889e-06,1.6997979930646829e-06,1.694770409720078e-06,1.026123053739004e-05,2.0351547289061526e-06,1.7190538606344706e-06
54,2.4096061908092747e-06,1.5611601475385598e-06,1.5388500450900874e-06,2.9724617345119385e-06,1.7425731674934245e-06,2.3098754860684575e-06,2.2979245488641597e-06,7.729122410669173e-06,3.959568100458128e-06,2.3090066136867828e-06,1.2002502537664674e-06,1.7579640746477975e-06,1.712686455786755e-06,1.0840240597153135e-05,2.004213903318983e-06,1.730938243048911e-06
55,2.3814688446320607e-06,1.584943878479538e-06,1.5402276258979545e-06,2.99817745951079e-06,1.7428644168633357e-06,2.328252769129278e-06,2.293770153861042e-06,7.790074598074484e-06,3.988207683005122e-06,2.2242341241530008e-06,1.1759165819408064e-06,1.8160872825467652e-06,1.7274302373362247e-06,1.1475802547105723e-05,1.9784224721167755e-06,1.744557921061694e-06
56,2.347137021652302e-06,1.610809298210739e-06,1.5457688093821124e-06,3.018508134645502e-06,1.7482192288826087e-06,2.35665382079085e-06,2.2887043237359225e-06,7.829728621137165e-06,4.024331897877233e-06,2.1402799537769474e-06,1.1490067981422573e-06,1.8728316945152625e-06,1.738630569228879e-06,1.216268735433175e-05,1.9570661247235917e-06,1.7596439531059193e-06
57,2.3082125729904077e-06,1.6384711130558356e-06,1.5551884225914654e-06,3.0333744152976957e-06,1.7582560454584996e-06,2.3954979658069563e-06,2.281786427279131e-06,7.84507238178201e-06,4.068294098773678e-06,2.0576324485431704e-06,1.1199599972936669e-06,1.9264726594055417e-06,1.7458788587424759e-06,1.2894814702857107e-05,1.939194485152576e-06,1.7757643849921547e-06
58,2.266475462461731e-06,1.6676819946858276e-06,1.5681371497104928e-06,3.042149517645285e-06,1.773030421201807e-06,2.444859238671632e-06,2.2724026701943197e-06,7.83461265373932e-06,4.120375881768938e-06,1.9769608689536886e-06,1.0891709055686597e-06,1.9750256442460567e-06,1.748811656120452e-06,1.3665044347721303e-05,1.92375776983247e-06,1.7925608261881662e-06
59,2.2238337876638642e-06,1.6982522361045589e-06,1.5842687044498105e-06,3.043913184154949e-06,1.7929841947447682e-06,2.5045267963757465e-06,2.2606135157217987e-06,7.798486430374196e-06,4.1805410089467725e-06,1.899046233048624e-06,1.0569573327375485e-06,2.016557743016069e-06,1.7473177719913282e-06,1.4465083890493457e-05,1.909821133984509e-06,1.8099289466255567e-06
60,2.18223685962362e-06,1.7301554085178668e-06,1.6033442003007825e-06,3.037896248379005e-06,1.8187018593042103e-06,2.5740290202977444e-06,2.2472691336735337e-06,7.738222010312189e-06,4.248278950247517e-06,1.8245619207558973e-06,1.0235780347453248e-06,2.0495791092020514e-06,1.7417846278467827e-06,1.528538536385521e-05,1.8967256583315686e-06,1.828045921169336e-06
61,2.1435111577216975e-06,1.7635649014492127e-06,1.6252269279713343e-06,3.023864638748076e-06,1.8506582367541279e-06,2.652635743329392e-06,2.2338125891844943e-06,7.656323703821612e-06,4.322650120018346e-06,1.7539753450123765e-06,9.89269165896694e-07,2.0732604635453736e-06,1.7332391813164252e-06,1.611492695801237e-05,1.88412006435369e-06,1.8472856907063576e-06
62,2.1091636182934758e-06,1.7987423673943318e-06,1.6497616019571055e-06,3.00227516995257e-06,1.8891257703264913e-06,2.739401090991596e-06,2.221856552828526e-06,7.555960281500209e-06,4.402411699159166e-06,1.6876544387014532e-06,9.542768432027785e-07,2.087301716046821e-06,1.7232062353020133e-06,1.6940836851920518e-05,1.8718360931141722e-06,1.8680934906986726e-06
63,2.08025359041338e-06,1.8358585130434522e-06,1.6766814161064126e-06,2.9742391356238745e-06,1.934220612221498e-06,2.8331786252587195e-06,2.2127909779902683e-06,7.440843230332206e-06,4.486289790491783e-06,1.6259790121456544e-06,9.188599115223956e-07,2.091610494898314e-06,1.7133775831948073e-06,1.774857341688209e-05,1.8597622199257283e-06,1.8908452138692567e-06
64,2.0573487219603048e-06,1.8748680479776743e-06,1.705573794746222e-06,2.941355843651489e-06,1.9859922985213153e-06,2.9326146922982585e-06,2.2076045882153924e-06,7.315172997428456e-06,4.5737370792346276e-06,1.5692879913926621e-06,8.833019682416398e-07,2.0861706088244796e-06,1.7053643844144132e-06,1.8523636695171404e-05,1.8478820057678955e-06,1.9157203982054866e-06
65,2.0405268956343794e-06,1.9154733434662396e-06,1.7358739099499732e-06,2.905399856821282e-06,2.044426225580438e-06,3.0362394689416595e-06,2.2068630694147295e-06,7.183472141663593e-06,4.665919739726126e-06,1.517741612254018e-06,8.479216835617684e-07,2.071208824631605e-06,1.7005897923840395e-06,1.9254214814980676e-05,1.836347824883391e-06,1.9426331097034727e-06
66,2.02942719056256e-06,1.957125769271556e-06,1.7669261784032928e-06,2.8679272016569312e-06,2.1093424756192974e-06,3.1425286241040902e-06,2.21073087962239e-06,7.050160279993862e-06,4.7660648927250146e-06,1.4712431553231619e-06,8.130332782568309e-07,2.047379190745705e-06,1.7002318263250638e-06,1.993299369484023e-05,1.8254378002845559e-06,1.9712221985995296e-06
67,2.0233804280236065e-06,1.999010795544569e-06,1.7981155469288543e-06,2.8299959991636353e-06,2.1803158161946125e-06,3.249743652518238e-06,2.219061583495079e-06,6.918955084029245e-06,4.878828338354329e-06,1.4295104786412282e-06,7.789016640151097e-07,2.0157572648141603e-06,1.7051865842233336e-06,2.0557190005900516e-05,1.8154548956559563e-06,2.0009036575098336e-06
68,2.021585344705499e-06,2.0400488053556656e-06,1.82900600369729e-06,2.792117119843591e-06,2.2566282634457327e-06,3.355710686297509e-06,2.2315935168097852e-06,6.792468241718289e-06,5.009210938150137e-06,1.3923176852251478e-06,7.457277739452418e-07,1.97771215840342e-06,1.71603097550989e-06,2.112703024835535e-05,1.8066269358729388e-06,2.030992846354017e-06
69,2.02321265224458e-06,2.0790478165386386e-06,1.8594489576331726e-06,2.7543808718095848e-06,2.337223610582132e-06,3.4578375443627016e-06,2.248108090558029e-06,6.672145340441578e-06,5.161680865609569e-06,1.359769255840643e-06,7.136329142200924e-07,1.934778026828782e-06,1.7329910193299635e-06,2.1643316023207646e-05,1.7990516961404315e-06,2.060776727422241e-06
70,2.027360589295925e-06,2.115029591472352e-06,1.889627582359901e-06,2.7166679390749493e-06,2.4207033720547026e-06,3.5533605864807955e-06,2.2684008846258875e-06,6.558284485719933e-06,5.3397557800154365e-06,1.3323772176992594e-06,6.826521743902503e-07,1.888569197154988e-06,1.7559536539074862e-06,2.2105235492558362e-05,1.7927354417883712e-06,2.0894060899092317e-06
71,2.0329655266010126e-06,2.147478070990521e-06,1.9200010862290912e-06,2.678874813219122e-06,2.505332855695376e-06,3.639495454270272e-06,2.2921132211824776e-06,6.450048085788395e-06,5.545964294791228e-06,1.3108651032423172e-06,6.527882647630989e-07,1.8407166546076643e-06,1.784527768723351e-06,2.2510139489821952e-05,1.7876305212984617e-06,2.1157408210839635e-06
72,2.0389006527259846e-06,2.176305391584932e-06,1.9511762234094895e-06,2.6410782927116835e-06,2.5890454223443616e-06,3.71337541103836e-06,2.31856141560965e-06,6.345703563315691e-06,5.781958264188519e-06,1.2958774729223835e-06,6.241445525460326e-07,1.79278405846748e-06,1.8181181959820204e-06,2.2855722936906882e-05,1.7835992826268498e-06,2.138451541905855e-06
